,Timestamp,GHI,DNI,DHI,ModA,ModB,Tamb,RH,WS,WSgust,WSstdev,WD,WDstdev,BP,Cleaning,Precipitation,TModA,TModB,Comments
count,525600,525600.0,525600.0,525600.0,525600.0,525600.0,525600.0,525600.0,525600.0,525600.0,525600.0,525600.0,525600.0,525600.0,525600.0,525600.0,525600.0,525600.0,0.0
mean,2022-04-25 12:00:30.000000768,230.55503976407917,151.25846898782348,116.44435235920854,226.14437461948242,219.56858808980218,27.75178805175039,55.01315981735161,2.3680934170471843,3.2294895357686455,0.5577395357686454,161.74184531963462,10.559568493150685,975.9152416286149,0.0005346270928462709,0.001382039573820396,32.44440296803653,33.54332971841705,
min,2021-10-25 00:01:00,-12.7,0.0,0.0,0.0,0.0,14.9,3.3,0.0,0.0,0.0,0.0,0.0,968.0,0.0,0.0,13.1,13.1,
25%,2022-01-24 06:00:45,-2.2,0.0,0.0,0.0,0.0,24.2,26.5,1.4,1.9,0.4,74.8,6.9,975.0,0.0,0.0,23.9,23.6,
50%,2022-04-25 12:00:30,2.1,0.0,2.5,4.4,4.3,27.2,59.3,2.2,2.9,0.5,199.1,10.8,976.0,0.0,0.0,28.4,28.4,
75%,2022-07-25 18:00:15,442.4,246.4,215.7,422.525,411.0,31.1,80.8,3.2,4.4,0.7,233.5,14.1,977.0,0.0,0.0,40.6,43.0,
max,2022-10-25 00:00:00,1424.0,1004.5,805.7,1380.0,1367.0,41.4,99.8,16.1,23.1,4.7,360.0,86.9,983.0,1.0,2.3,70.4,94.6,
std,,322.53234661152936,250.9569616573671,156.52071366117195,317.3469382524454,307.9325104175355,4.758022740618851,28.778732322296694,1.462667670344068,1.882564525208805,0.268923061732855,91.87721656228369,5.915489536764592,2.153977480335337,0.023115844854792233,0.02635003158140825,10.99833354593578,12.76927711913104,
